name,email,location,slot
Alice,alice@example.com,Expo Hall,first
Bob,bob@example.com,Expo Hall,first
Charlie,charlie@example.com,Expo Hall,second
David,david@example.com,Expo Hall,first
Eve,eve@example.com,Expo Hall,second
Frank,frank@example.com,Expo Hall,first
Grace,grace@example.com,Expo Hall,second
Heidi,heidi@example.com,Expo Hall,first
Ivan,ivan@example.com,Expo Hall,second
Judy,judy@example.com,Expo Hall,first
Kevin,kevin@example.com,Expo Hall,second
Laura,laura@example.com,Expo Hall,first
Mike,mike@example.com,Expo Hall,second
Nina,nina@example.com,Expo Hall,first
Oscar,oscar@example.com,Expo Hall,second
Paul,paul@example.com,Expo Hall,first
Quinn,quinn@example.com,Expo Hall,second
Rose,rose@example.com,Expo Hall,first
Sam,sam@example.com,Expo Hall,second
Tina,tina@example.com,Expo Hall,first
Uma,uma@example.com,Expo Hall,second
Victor,victor@example.com,Expo Hall,first
Wendy,wendy@example.com,Expo Hall,second
Xander,xander@example.com,Expo Hall,first
Yara,yara@example.com,Expo Hall,second
Zack,zack@example.com,Expo Hall,first
V1,v1@example.com,Expo Hall,second
V2,v2@example.com,Expo Hall,first
V3,v3@example.com,Expo Hall,second
V4,v4@example.com,Expo Hall,first
V5,v5@example.com,Expo Hall,second
V6,v6@example.com,Expo Hall,first
V7,v7@example.com,Expo Hall,second
V8,v8@example.com,Expo Hall,first
V9,v9@example.com,Expo Hall,second
V10,v10@example.com,Expo Hall,first
V11,v11@example.com,Expo Hall,second
V12,v12@example.com,Expo Hall,first
V13,v13@example.com,Expo Hall,second
V14,v14@example.com,Expo Hall,first
Dirty Dave,dave@dirty.com, expo hall , FIRST 
Messy Martha,martha@messy.com,Expo Hall,Second 
Casing Carl,carl@case.com,EXPO HALL,fiRSt
Invalid Ida,ida@invalid.com,Expo Hall,morning
Empty Ed,ed@empty.com,Finish Line,
Missing Molly,molly@missing.com,,first
Spaces Sue,sue@spaces.com, Finish Line , second
Mixed Max,max@mixed.com, finish LINE , fIRST
